full_title,date
A judge in France charges a woman with the murder of eight of her newborn babies and her husband with hiding the..,2010
"BP posts losses of $16.9bn (£10.9bn) for April to June, after setting aside $32.2bn for costs linked to the Gulf..",2010
Ten people are reported to have been killed in a stampede during the Love Parade festival in the German city of ..,2010
"Taliban insurgents in the southern Afghan province of Logar have kidnapped two US soldiers, reports say.",2010
"The killer of James Bulger, Jon Venables, pleads guilty to downloading and distributing indecent images of child..",2010
"Kosovo's 2008 unilateral declaration of independence from Serbia did not violate international law, judges say i..",2010
Nick Griffin MEP will be denied entry to a Buckingham Palace garden party as Palace says he used invitation for ..,2010
A police officer filmed pushing Ian Tomlinson to the ground during the G20 protests will not be charged over his..,2010
"An Afghan soldier has killed two US military trainers in the Northern city of Mazar-e-Sharif, Nato announces.",2010
President Hamid Karzai has apologised to the UK after three Nato soldiers were killed by Afghan forces in a 'fri..,2010
The suspect is believed to have a gun wound after a shot or shots are fired in a stand-off with a man believed t..,2010
Police say they are negotiating with man answering description of gun suspect Raoul Moat in Rothbury,2010
"A US judge orders the deportation of 10 people who admitted being Russian agents, and says Russia will release f..",2010
"Ten people accused in the US of being Russian spies plead guilty to ""conspiracy to act as an unregistered agent ..",2010
"At least 25 Shia pilgrims have been killed by a suicide bomber in Iraq's capital, Baghdad, officials say.",2010
"Most government departments are being asked to produce ""illustrative plans"" for cutting their spending by 25% an..",2010
"Five-times champions Brazil are beaten 2-1 by the Netherlands in the first quarter-final of the World Cup, after..",2010
"The commander of US forces in Afghanistan, Stanley McChrystal, is sacked by Barack Obama over a magazine article..",2010
"VAT is to rise to 20% from January 2011 and child benefit will be frozen for three years, Chancellor George Osbo..",2010
"The top US commander in Afghanistan, Gen McChrystal, is summoned to Washington after criticising US officials in..",2010
The death of a British marine wounded in Afghanistan takes the number of UK personnel killed in the conflict to ..,2010
"The US state of Utah executes convicted murderer Ronnie Lee Gardner by firing squad, the first such execution in..",2010
"Israel says it is easing its blockade on Gaza, after the outcry over the killing of nine peace activists on an a..",2010
"BP agrees to set up a $20bn (£13.5bn) independent compensation fund for Gulf of Mexico oil spill victims, US Pre..",2010
