full_title,date
Self-isolation period for people with coronavirus symptoms in England to be extended to 10 days,2020
Former Malaysian PM Najib Razak found guilty of all seven charges in first multi-million dollar corruption trial,2020
"Obituary: Dame Olivia de Havilland, the two-time Oscar winner known for her role as Melanie in the epic Gone with the Wind",2020
"Olivia de Havilland, one of the last remaining stars from the golden age of Hollywood, dies aged 104",2020
Travellers returning to England from Spain will have to quarantine for 14 days from Sunday morning,2020
"British singer-songwriter Peter Green, co-founder of Fleetwood Mac, has died aged 73",2020
UK PM Boris Johnson tells BBC there are “very open questions” about whether UK’s coronavirus lockdown came too late,2020
"Three teenagers guilty of manslaughter of PC Andrew Harper, who died after being dragged along Berkshire road by a car",2020
"China orders closure of US consulate in Chengdu, as tensions rise between the two superpowers",2020
"President Trump announces a ""surge"" of federal agents into several US cities he says are plagued by violent crime",2020
"UK and US agree to amend ""anomaly"" that allowed Harry Dunn death suspect Anne Sacoolas to claim diplomatic immunity",2020
Bus siege in Ukraine ends after president complies with hostage-taker’s demand to tell people to watch animal-rights documentary Earthlings,2020
"Ukraine stand-off ends as police storm bus and free all gunman's hostages after hours of negotiations, officials say",2020
"Russia sees UK as one of its ""top targets"" in the West, according to long-awaited UK parliamentary report",2020
"EU leaders agree Covid-19 economic recovery package with €750bn in grants and loans, after fourth night of talks",2020
"Coronavirus vaccine developed by Oxford University appears safe and trains the immune system, key early trials show",2020
The United Arab Emirates launches its Hope spacecraft in historic first mission to Mars,2020
"London police officer suspended after ""disturbing"" footage emerges of officer appearing to kneel on a man's neck",2020
Suspect nicknamed 'Rambo' arrested in Black Forest after five-day hunt for man who seized weapons from officers,2020
Top liberal US Supreme Court Justice Ruth Bader Ginsburg has recurrence of cancer and is undergoing chemotherapy,2020
Princess Beatrice marries Edoardo Mapelli Mozzi in Windsor in private ceremony attended by the Queen and close family,2020
"Shamima Begum, who left London to join Islamic State group in Syria in 2015, wins legal battle to return to UK to fight against loss of citizenship",2020
"US government puts to death man who killed a family in 1996, in first federal execution for 17 years",2020
"UK mobile providers must remove all Huawei’s 5G kit from their networks by 2027, government announces",2020
US Supreme Court clears the way for first executions of federal prisoners for 17 years,2020
"The UK's economy shrank by 19.1% in the three months to May, as the full impact of lockdown was felt, the Office for National Statistics says",2020
"Body found in Californian lake identified as missing Glee star Naya Rivera, police say",2020
"People must wear face coverings in shops in England from 24 July or risk a £100 fine, government to announce",2020
Police searching for missing Glee star Naya Rivera have found a body in a lake in California,2020
"Poland's conservative president Andrzej Duda wins re-election, beating liberal Warsaw mayor Trzaskowski in close race",2020
"President Trump commutes prison sentence of his former adviser Roger Stone, convicted of lying to Congress",2020
"Turkish court clears way for Istanbul's Hagia Sophia museum, built in 6th Century, to revert to being a mosque",2020
"Gyms, pools, recreational sport and outdoor performances set to resume in England, as further restrictions are lifted by government",2020
"President Trump must turn over financial information to prosecutors but not to lawmakers, US Supreme Court says",2020
"UK High Street pharmacy chain Boots cutting 4,000 jobs and closing 48 stores in wake of coronavirus pandemic",2020
"BBC to end free licence fee for most over-75s from 1 August, after a two-month delay due to coronavirus pandemic",2020
"""I have decided, for the next six months, to cut VAT on food, accommodation and attractions""  Chancellor Rishi Sunak announces value added tax for the hospitality industry will reduce from 20% to 5%",2020
"Six-month cut in VAT from 20% to 5% for hospitality and tourism sectors, UK Chancellor Rishi Sunak announces",2020
Brazil's President Jair Bolsonaro tests positive for coronavirus,2020
Oscar-winning Italian film composer Ennio Morricone dies aged 91,2020
Full list of countries for which quarantine will not apply to people arriving back in England is published,2020
"Owner of restaurants Café Rouge and Bella Italia to cut 1,900 jobs as it goes into administration",2020
"FBI arrests British socialite Ghislaine Maxwell, an associate of late disgraced financier Jeffrey Epstein",2020
'Iconic' crime figures are among 746 arrests after a secret communications system was 'successfully penetrated',2020
"First arrest in Hong Kong as new ""anti-protest"" security law kicks in, with punishments up to life imprisonment",2020
"China passes a security law which gives it new powers over Hong Kong, deepening fears for the city's freedoms",2020
"Stricter lockdown measures for Leicester announced, including closing of shops and schools, as Covid cases rise",2020
"In a landmark ruling, the US Supreme Court strikes down a Louisiana law restricting abortions as unconstitutional",2020
"Ex-French PM François Fillon and his Welsh wife Penelope found guilty over ""fake jobs"" scandal",2020
Gunmen attack Pakistani stock exchange in Karachi and reports say a number of people have been killed,2020
"Worldwide coronavirus death toll passes 500,000, as number of infections exceeds 10 million",2020
"The UK's top civil servant, Sir Mark Sedwill, confirms he plans to stand down from the role in September",2020
"Malawi's opposition leader Lazarus Chakwera elected president with nearly 59% of vote, electoral commission says",2020
"Khairi Saadallah, 25, charged with three counts of murder after stabbings in Reading last Saturday",2020
"Police confirm one person shot dead in Glasgow attack, and six people including a police officer are being treated in hospital  The incident is not being treated as terror related",2020
"Suspect involved in Glasgow stabbing shot by armed officer, police confirm",2020
Three people believed to have died after being stabbed in Glasgow city centre hotel,2020
"Intu, owner of some of the UK's biggest shopping centres, to enter administration",2020
"Jonty Bravery, 18, jailed for at least 15 years for throwing six-year-old boy from balcony at London's Tate Modern",2020
"Liverpool confirmed as champions of English football's Premier League, the club's first top-flight title in 30 years",2020
"Labour leader sacks Rebecca Long Bailey for sharing article containing ""anti-Semitic conspiracy theory""",2020
"Royal Mail to cut 2,000 manager jobs in UK as it struggles to deal with effects of coronavirus crisis",2020
“This vital change enables the next stage of our plan to ease the lockdown”  UK PM Boris Johnson announces plans to reduce the two metre social-distancing rule in England to one metre from 4 July  Latest:,2020
"PM Boris Johnson announces pubs, restaurants, hotels and hair salons can open from 4 July in England, as social distancing rules eased",2020
A lockdown is being re-imposed in a German region after a coronavirus outbreak linked to a meatpacking plant,2020
Shielding to end from 1 August for 2.2 million vulnerable people in England told to stay at home since lockdown began,2020
Tribute paid to “wonderfully talented” and “inspirational” teacher James Furlong killed in Reading attack,2020
Man held by police on suspicion of killing three people in Reading is Khairi Saadallah,2020
"Boris Johnson ""appalled and sickened"" by Reading attack and action will be taken if ""lessons to be learned""",2020
"Stabbing attack in Reading which left three people dead now being treated as ""terrorist incident"", say UK police",2020
"Stabbings which left three dead in Reading ""terrible crime whatever the motivation"", says UK minister Matt Hancock",2020
Three feared dead in Reading park stabbings as man arrested. Anti-terror police at the scene,2020
"Home Secretary Priti Patel says she is ""deeply concerned"" at reports of a stabbing incident in Reading",2020
"Three children aged 12, eight and five have died in hospital after fire at a flat in Paisley, say Police Scotland",2020
US judge denies Trump administration bid to halt publication of former security adviser John Bolton's book,2020
"Actor Sir Ian Holm, the award-winning star of Lord of the Rings, Alien and Chariots of Fire, has died aged 88",2020
"UK lowers Covid-19 alert level in what the health secretary describes as a ""big moment for the country""",2020
President Trump's bid to end Obama-era immigration policy ruled unlawful by US Supreme Court,2020
JFK's sister Jean Kennedy Smith who as US envoy played key role in Northern Ireland peace process dies at 92,2020
Bank of England pumps an extra £100bn into UK economy to help recovery from 'unprecedented' coronavirus crisis,2020
"Obituary: Dame Vera Lynn, Britain's symbol of resilience and hope during the darkest of days",2020
"Dame Vera Lynn, the Forces' Sweetheart whose songs helped raise morale in World War Two, has died aged 103",2020
"Black man Rayshard Brooks was shot dead as he fled US police in a car park. Now, an officer faces a murder charge",2020
"Indian soldiers' lives lost in clash with Chinese soldiers in border region ""will not be in vain"" - Indian PM Modi",2020
"At least 20 Indians died in clash with Chinese forces in Kashmir, India says, in first deadly skirmish for decades",2020
Children's free school meal vouchers extended in England over the summer after footballer Marcus Rashford's campaign,2020
"Cheap steroid cuts death rates significantly for seriously ill Covid-19 patients in intensive care, drug trial finds",2020
Three Indian soldiers killed in clash with Chinese forces in Ladakh in disputed Kashmir region amid rising tensions,2020
"North Korea blows up joint liaison office with the South in border town of Kaesong, S Korean officials say",2020
"Number of UK workers on payrolls fell by more than 600,000 in three months to May as lockdown hit",2020
Watershed moment for LGBT rights in US as Supreme Court rules workplace law protects gay and transgender employees,2020
"US Air Force fighter jet from RAF Lakenheath has crashed in North Sea, during training mission",2020
Ex-US marine Paul Whelan sentenced to 16 years hard labour on spying charges in Russia,2020
"In a case seen as a test of the Philippines' media freedom, journalist Maria Ressa has been found guilty of libel.",2020
Man arrested on suspicion of urinating on the Westminster memorial dedicated to PC Keith Palmer,2020
French police clash with demonstrators during protest in Paris against racism and alleged police brutality,2020
UK economy shrinks 20.4% in April - the largest monthly contraction on record - as full impact of lockdown is felt,2020
"People living alone and most single parents in England can stay at another household from Saturday, says PM",2020
Swedish prosecutors believe they know who killed Prime Minister Olof Palme in 1986 but suspect is now dead,2020
"Burundi's President Pierre Nkurunziza, aged 55, has died of a heart attack, the government says",2020
