full_title,date
"House passes Boehner plan to raise debt ceiling, cut spending",2011
Stocks finish worst week of 2011; Dow drops for 6th straight day,2011
Republicans expecting to bring Boehner's debt ceiling plan to a vote this evening,2011
U.S. Soccer names ex-German skipper #Klinsmann as national team coach.,2011
"Tropical Storm Don still closing on Texas coast, expected to bring much-needed rain.",2011
#FortHood bomb plot suspect held without bond.,2011
President #Obama speaks on debt impasse as GOP considers bill changes.,2011
President Obama scheduled to deliver debt ceiling statement at 10:20 ET.,2011
Norway honors victims of Oslo terror attacks.,2011
Alleged Libyan rape victim comes to U.S. to stay,2011
House may vote on Boehner debt plan Friday after failing to generate support Thursday,2011
"Former astronaut Lisa Nowak retires from Navy with ""other than honorable"" discharge",2011
Judge orders measure to ban #circumcision removed from San Francisco ballot,2011
Pentagon: General accused of ordering psy-ops unit to influence lawmakers is cleared,2011
"Polygamist sect leader Warren Jeffs, acting as own attorney, declines to give opening argument",2011
"Tropical Storm Don moving ""briskly"" toward Texas, according to hurricane center",2011
House Republicans delay vote on Boehner's debt ceiling proposal,2011
"The commander of Libya's rebel forces has been assassinated, the rebels say",2011
Report: Ex-Major League pitcher #Irabu found dead,2011
U.S. soccer coach #Bob Bradley fired a month after Gold Cup final loss to Mexico,2011
"Jihadi literature found in backpack of soldier arrested near #FortHood, law enforcement source says.",2011
"Arrested soldier said he wanted to attack soldiers outside #FortHood, law enforcement source says.",2011
"Bomb materials found in arrested soldier's room near #FortHood, FBI official says.",2011
Polygamous sect leader Warren #Jeffs asks to represent himself at sex assault trial,2011
#Libyan rebels claim successes in offensive near #Tunisia,2011
Official: Person arrested near #FortHood for 'suspicious activity',2011
#Norway police face questions over response to #Oslo attacks.,2011
Judge leading UK #phone-hacking probe to start ordering testimony.,2011
Historic rains kill at least 49 in South Korea.,2011
Tropical Storm Don spins in the Gulf of Mexico,2011
House vote on Republican #debt plan set for Thursday,2011
Senate votes unanimously to keep #FBI Director Robert Mueller in office for another 2 years,2011
NHC: Tropical Storm Don has developed in Gulf of Mexico with maximum sustained winds of 40 mph #tropicalstormdon,2011
"#Stocks extend losses amid no signs of progress in debt impasse, Dow declines 200 points",2011
"LA Angels pitcher Ervin Santana threw his first career #nohitter, striking out 10 batters in a 3-1 win in Cleveland",2011
Judge dismisses lawsuit aimed at blocking funding for stem cell research on embryos.,2011
"No Senate Democrats will back GOP's debt plan, Reid says.",2011
"#Norway to set up independent commission on Oslo attacks, prime minister says.",2011
Slow-moving tropical storm kills 27 in #Philippines.,2011
"South Korea landslide leaves 32 dead, dozens injured.",2011
"Mayor of Kandahar, Afghanistan,  killed in suicide attack; Taliban claim responsibility.",2011
Default looms as impasse on #debt deal drags into critical week,2011
Bolivian president says U.S. might try to plant evidence linking him to drug trafficking,2011
"Olympic silver medal freestyle skier Jeret Peterson commits suicide, police say",2011
"Expected Wednesday vote on latest GOP debt limit plan postponed, source says",2011
"Twin towers' fall didn't cause cancer -- first-responders not covered, coverage chief says",2011
"ATF admits ""mistakes"" made in operation that let guns into Mexico",2011
"#Teen hitman convicted in Mexico of kidnap, torture, killings",2011
"5.9-magnitude #earthquake in the Gulf of California, according to USGS",2011
"Military plane crash kills 78 in #Morocco, state news agency reports.",2011
President Obama and Vice President Biden visit Norwegian ambassador to offer condolences over #Oslo attacks.,2011
"17 killed in #Mexico prison riot, officials say.",2011
Report: 20 dead in Moroccan military plane crash.,2011
"#Norway terror suspect Anders Breivik ""may be"" insane, his lawyer says.",2011
"Terror attacks suspect claims 2 cells in #Norway helped him, plus others abroad, attorney says.",2011
#Norway suspect's father: Anders Breivik 'should have taken his own life',2011
"'Small, private' funeral for Amy #Winehouse set for Tuesday",2011
"#Obama, #Boehner clash as both push debt-cutting deals",2011
Oregon Rep. David #Wu will not seek re-election; Nancy Pelosi calls for ethics investigation,2011
#Boehner: President's proposals fail to deal with the fundamental problem: The nation spends more than it takes in,2011
"House Speaker John Boehner: ""The U.S. cannot default. The jobs and savings of too many Americans are at stake"" #debt",2011
"#Obama: ""We can't allow the American people to be collateral damage""",2011
"#Obama: ""Defaulting on our obligations is a reckless and irresponsible outcome to this debate"" #debt",2011
"Obama: ""We have to do it (raise debt ceiling) by next Tues., Aug. 2, or else we won’t be able to pay all of our bills""",2011
"#Obama: It is imperative that government address its #debt and ""both parties have the responsibility to solve it""",2011
"#Obama on what default could mean: ""Interest rates could climb for everyone who borrows money"" #debt",2011
"Postal service plans to shut down 3,600 offices #postoffice",2011
House Speaker Boehner will give response to President Obama's address on #debt talks,2011
"President Obama to address nation at 9 p.m. ET, regarding #debt ceiling stalemate",2011
"GOP aides detail Rep. John #Boehner’s plan to cut $3 trillion, raise #debt ceiling in two stages",2011
Obama endorses #debt-ceiling proposal by Senate Majority Leader Harry Reid that would cut spending by $2.7T,2011
Conservative groups filed a lawsuit in New York Supreme Court challenging legality of #same-sexmarriage law,2011
Members of the #NFL Players Association have unanimously ratified a collective bargaining agreement with owners,2011
Autopsy not conclusive on Amy #Winehouse death.,2011
"Total dead in #Norway shootings and bombing now 76, down from 93, police say.",2011
Police: Death toll in #Norway mass shooting lowered from 86 to 68.,2011
"#Mexico police arrest 1,000 in human trafficking busts.",2011
"#Norway terror suspect to be held in isolation, judge says.",2011
"#Norway massacre suspect ordered held for 8 weeks, report says.",2011
"Report: Players, #NFL reach new labor deal.",2011
"Amy #Winehouse autopsy scheduled for today, Scotland Yard says.",2011
4 teens injured in bear attack in Alaskan wilderness #bearattack,2011
"Strauss-Kahn accuser, hotel maid Nafissatou Diallo, breaks silence",2011
President Obama will meet with Nancy Pelosi and Harry Reid at 6 p.m. in the Oval Office on #debt-reduction talks,2011
"Militants hang 8-year-old boy in southern Afghanistan, officials say.",2011
"Autopsy on singer #AmyWinehouse won't be scheduled before Monday morning, police in London say.",2011
First couple marry in New York City under state's new law allowing same-sex marriages.,2011
Democrats reject Republican proposal for 2-step approach to raising #debt limit,2011
"Up to 8 wounded in shooting at car show near Seattle, Washington, official says",2011
"Suspect calls #Norway terror attacks ""necessary,"" lawyer tells Norwegian TV",2011
"Boehner favors 2-step plan to cut spending by $3 trillion-$4 trillion, aide says",2011
"Boehner wants debt-ceiling solution before Asian stock markets open, aide says",2011
"Former Gen. John Shalikashvili, Joint Chiefs chairman under Clinton, has died",2011
Police aren't ruling out more suspects in #Norway attacks.,2011
"Singer #AmyWinehouse, who reportedly was found dead Saturday, had recently left a rehab program.",2011
"Bullet train collision in eastern China leaves 11 dead, 89 injured, state-run news agency Xinhua reports.",2011
Death toll in #Norway attacks rises to 92.,2011
Prime minister of #Norway on deadly attacks: Not since WWII has country experienced such an atrocity.,2011
"Man charged in #Norway attacks had 3 registered weapons, newspaper reports.",2011
"Man ID'd in media reports as suspect in #Norway attacks bought 6 tons of fertilizer in May, co-op worker tells CNN.",2011
Witness: Gunfire in Norway island massacre lasted two hours,2011
"At least 91 people killed in Norway bombing, shootings",2011
Police now say at least 80 people died in attack on youth camp in #Norway,2011
2 charged with felony assault in beating of #San Francisco Giants fan,2011
"Oslo mayor: Toll from #Norway blasts, shooting -- 17 dead, 90 hospitalized",2011
"Obama calls House, Senate leaders to Saturday meeting to ""explain to me how to avoid default""",2011
John Boehner says he has ended debt talks with President Obama,2011
"President #Obama to make statement at 6 p.m. ET, White House says",2011
Undetonated explosives found on #Norway island where 9 gunned down at youth camp,2011
"Man arrested after #Norway youth camp shootings is Norwegian,  justice minister says",2011
Pentagon officially ready to accept openly gay and lesbian service members,2011
"Oslo bombing, youth camp shooting definitely linked, police in #Norway say",2011
At least 9 people killed in attack at #Norway ruling party's youth camp,2011
Jury convicts Anthony Sowell in Cleveland serial killings,2011
"NIne killed in linked attacks in Oslo, #Norway, police say.",2011
"Police have ""good reason"" to believe #Norway blast and shooting are linked, broadcaster NRK reports.",2011
One person arrested on #Norway island where a man shot at members of a Labour Party youth camp.,2011
Person dressed as a policeman fires shots at youth camp in #Norway; injuries reported.,2011
War crimes suspect Hadzic arrives in Netherlands for trial.,2011
Raid against militant stronghold leaves 50 dead in #Afghanistan.,2011
"At least one killed in #Oslo blast, Norwegian state broadcaster NRK says.",2011
"Senate votes 51-46 to table ""cut, cap and balance"" bill passed earlier this week by the House.",2011
"Second blast reported in central Oslo, #Norway.",2011
"Blast rocks central Oslo, #Norway; injuries reported.",2011
Convicted murderer Andrew Grant DeYoung was executed in Georgia by lethal injection #execution,2011
Pentagon is set to certify that the U.S. military is prepared to accept openly gay and lesbian service members #dadt,2011
"#NFL owners by a 31-0 vote ratified a proposal to end the current #lockout, according to the NFL Network",2011
Famed British artist Lucien Freud has died at the age of 88 #lucienfreud,2011
Congressional Democratic leaders to meet with Obama this evening. #debttalks,2011
#Stocks surge on debt talk,2011
Sources say a $3 trillion deficit-reduction plan is under discussion #debttalks,2011
"Prince Andrew: I'll stand down as UK ""special representative"" for international trade.",2011
Judge orders Lindsay #Lohan back to court for probation review.,2011
"Ex-presidential hopeful John Edwards must pay back $2.3 million, election commission says.",2011
European leaders trying to hammer out #Greek debt crisis deal.,2011
Phone-hacking probe appears to expand beyond Murdoch papers.,2011
Homeland Security warns of potential threats against utilities,2011
"British phone-hacking probe expanding beyond #Murdoch papers, officials say.",2011
#Atlantis landing marks end to NASA's 30-year space-shuttle program.,2011
Mark Anthony Stroman executed in Texas for 9/11 revenge killing #execution,2011
"#Hurricane Dora strengthens to Category 4 with winds of 135 mph, 235 miles off SW coast of Mexico",2011
"Sen. Sessions finds ""serious flaws"" in ""Gang of Six"" debt reduction plan",2011
Homeland Security warns about potential threats against utilities #terror,2011
GOP presidential hopeful Michele #Bachmann gets a doctor's note about her migraines,2011
"Republican aide: Obama, House GOP leaders to meet at White House today at 5 p.m.",2011
White House: Obama would agree to short-term extension of debt ceiling -- with conditions.,2011
75 former #NFL players suing league over claims it withheld concussion risks.,2011
"#Heatwave blamed for up to 13 deaths now affecting almost half of U.S population, officials say.",2011
American Airlines says it has placed order for 460 planes -- largest in commercial history.,2011
"Feds investigate school district after bullying claims, civil rights complaint.",2011
PM Cameron would not have hired former news editor Coulson had he known then what he knows now.,2011
"Iran downs U.S. ""spy drone,"" state-run Press TV reports.",2011
"House passes a ""cap, cut and balance"" bill, 234-190, which would cap spending while making it tougher to raise taxes",2011
Texas Rangers to raise rail heights in wake of deadly fan fall #baseball,2011
#Dow surges more than 200 points as Congress nears debt ceiling deal,2011
Rebekah #Brooks says hacking of murder victim's phone by News of the World “abhorrent.”,2011
Rebekah #Brooks apologizes over phone-hacking scandal.,2011
James #Murdoch says no evidence of hacking of 9/11 victims' phones.,2011
"#Murdoch hit ""squarely in the face"" by a plate of shaving foam, reports CNN's Dan Rivers.",2011
"Man approached Rupert #Murdoch with ""white substance"" in pie tin.",2011
Phone-hacking hearing halted as man tries to accost Rupert #Murdoch.,2011
Hearing into phone-hacking scandal halted because of a disturbance in the room.,2011
Defense rests in trial of accused Ohio serial killer Anthony Sowell.,2011
"News Corp. paid ""certain legal fees"" for Glenn Mulcaire, a key figure in phone-hacking scandal, James #Murdoch says.",2011
Murdochs won't say how much news executives Brooks and Hinton were paid when they resigned.,2011
Rupert #Murdoch in UK phone-hacking hearing denies being out of touch with his newspapers.,2011
"Rupert #Murdoch says newspaper bosses not guilty of ""willful blindness,"" in phone-hacking scandal.",2011
Rupert Murdoch denies feeling responsible for phone-hacking scandal.,2011
British lawmakers hold hearings into phone-hacking scandal. Live blog:,2011
Space Shuttle #Atlantis undocks from International Space Station,2011
Spokesman: Interim Egyptian PM Esam Sharaf treated for exhaustion but did not have stroke as reported earlier,2011
#Borders Group will liquidate its remaining assets after efforts to find a buyer fell through,2011
Egypt's interim Prime Minister Esam Sharaf suffered a stroke and is undergoing tests in a Cairo hospital,2011
"Networking giant #Cisco says it will lay off 6,500 employees, or about 9% of its work force",2011
#Libya says it's holding face-to-face talks with U.S.,2011
#Phone-hacking whistle-blower found dead,2011
Rapper Ja Rule sentenced to 28 months in prison for tax evasion.,2011
Review board to probe claims of UK police corruption following phone-hacking scandal.,2011
"Syrian forces move into border city, detain dozens, witnesses say.",2011
"Tropical storm Bret strengthens, turns east as it moves toward Bahamas.",2011
British police officer who ruled 2 years ago to not reopen investigation into News of the World resigns.,2011
Ex-News of the World editor Brooks expected to testify in hacking scandal despite arrest.,2011
#Petraeus hands over command in Afghanistan,2011
Tropical Storm Bret forms 100 miles northwest of Great Abaco Island in the Bahamas #tropicalstormbret,2011
"The Japanese women's soccer team wins World Cup, defeating the U.S. on penalty kicks to capture first world title",2011
The World Cup final between Japanese and U.S. women's soccer teams will be decided by penalty kicks #worldcup,2011
Japan sends women's World Cup final into overtime #worldcup,2011
Los Angeles' Interstate #405 reopened ahead of schedule when workers demolished bridge faster than expected,2011
London police chief announces resignation amid #phone-hacking scandal,2011
Hospital: Ousted Egyptian strongman Hosni #Mubarak regains consciousness after falling into coma Sunday.,2011
"'Carmageddon' not so much. Interstate 405 in L.A. expected to reopen more than 17 hours ahead of schedule, mayor says.",2011
"Ousted Egyptian strongman #HosniMubarak in a coma, his attorney and hospital official say.",2011
Darren Clarke of Northern Ireland wins British Open golf tournament.,2011
Venezuela President #HugoChavez returns to Cuba where he is expected to continue cancer treatment.,2011
Ex-News of the World editor Rebekah Brooks arrested in UK phone hacking scandal.,2011
#Casey Anthony has been freed from jail,2011
31 of 33 miners trapped for 69 days file suit against Chilean government,2011
"Obama's meeting with #Dalai Lama ""harmed Sino-U.S. relations,"" China says",2011
Obama tells #Dalai Lama that U.S. does not support independence for #Tibet,2011
Ailing Venezuelan President #Chavez delegates some powers for first time,2011
Obama appeals to middle class on debt talks; Republicans renew call for balanced-budget amendment.,2011
"Crews begin demolition of Interstate 405 bridge in L.A.. So far, so good in early stages of ""Carmageddon.""",2011
Sear.com mistakenly advertises iPad for $69.,2011
"Bear attacks, injures teen camper in tent in Colorado",2011
178 Atlanta teachers accused in cheating scandal told to resign or be fired,2011
6.0 #earthquake strikes offshore of Chile; parts of Santiago without power,2011
Federal appeals court rules TSA can still use full-body scanners at airports,2011
CEO of Dow Jones & Co. resigns; 2nd executive under #Rupert Murdoch to quit today,2011
Another Murdoch apology. Said to be humble and sincere in saying sorry to family of murdered girl for phone hacking.,2011
Murdoch to apologize for phone hacking scandal in Saturday newspaper ad. Wishes company had acted faster.,2011
"U.S. recognizes Libyan rebels as legitimate governing authority, Clinton announces.",2011
"#Syria activists report 6 deaths, dozens of injuries when security forces fire on demonstrators.",2011
"U.S. attorney general considers investigation of News Corp. hacking,",2011
"650 U.S. soldiers leave #Afghanistan, as drawdown of troops begins.",2011
Sources: U.S. drone strike kills at least 50 in #Yemen.,2011
"Deal reached to end Minnesota's government shutdown ""within days,"" governor says",2011
"#Obama administration asks court to reconsider ""don't ask, don't tell"" order.",2011
#Obama to hold news conference at 11 a.m. ET Friday on debt negotiations.,2011
Source: #FBI launches investigation into #RupertMurdoch's New Corp.,2011
