full_title,date
"Nationwide survey: U.S. gas prices up nearly a dime per gallon in 2 weeks, reversing slide.",2012
"France wins #gold in men's 4x100-meter freestyle relay; U.S. is second, Russia third.",2012
#Uganda official: #Ebola went undetected because patients didn’t show typical symptoms.,2012
"U.S. swimmer Dana #Vollmer wins #gold, sets world record in women's 100-meter butterfly.",2012
"U.S. marathoner Desiree Davila has dropped out of the Olympic marathon due to an injury, according to a team statement.",2012
"U.S. men's basketball beats France, 98-71. U.S. to play Tunisia on Tuesday.",2012
Syria vows to stomp out rebels in Aleppo.,2012
"Hyundai recalls more than 220,000 vehicles for potential air bags flaws",2012
"China's Ye Shiwen captured a gold medal in women's 400 individual medley, setting a new world record.",2012
Ryan Lochte wins #Olympics gold medal for U.S. in men’s 400-meter individual medley. Michael Phelps was fourth.,2012
"First U.S. medal at the #Olympics is silver, after men's archery team falls to Italy.",2012
"#Ebola virus blamed for 14 deaths in western Uganda this month, local officials say.",2012
First gold medal of #Olympics goes to China. Rival U.S. swimmers Michael Phelps and Ryan Lochte face off later.,2012
Funerals to be held for #Coloradoshooting victims Matt McQuinn and Jessica Ghawi.,2012
#London2012 SPOILER: 7 promising young British athletes light Olympic cauldron,2012
2012 #Olympics opening ceremony has begun in London. Live blog:,2012
Court documents: Colorado shooting suspect was patient of university psychiatrist,2012
Legally blind archer posts first world record of #London #Olympics,2012
Storms knock out power to hundreds of thousands from Plains to Northeast,2012
"Sweep in 30 states targeting synthetic drug makers nets 167,000 pkgs of ""bath salts""",2012
National Drought Mitigation Center: Some agricultural damage is not reversible,2012
"Law firm representing Sandusky shower victim to sue ""Penn State University, others""",2012
Attorneys for victim release two Jerry Sandusky voice mails,2012
At least 112 people reported killed in battles across #Syria.,2012
Suspected al Qaeda militants clash with security forces in #Iraq,2012
Wife of controversial Chinese politician Bo Xilai charged with murder.,2012
Penn State insurer files motion seeking to deny coverage,2012
Obama addresses gun violence in speech to National Urban League,2012
"Puppeteer accused of chatting online about kidnapping, killing, eating children",2012
Cyclist who recorded his 186 mph joyride turns self in to police,2012
Consumer Product Safety Commission sues manufacturer of Buckyballs magnetic toy,2012
"Senate passes Dem plan to extend Bush-era tax cuts, rejects GOP alternative",2012
Paparazzo involved in Bieber chase charged,2012
Judge threatens to have Fort Hood shooting suspect forcibly shaved,2012
Chinese investing in U.S. businesses at record pace,2012
Judge suspends Katherine Jackson as guardian of Michael Jackson's children,2012
"9 #Olympic athletes suspended for doping, international governing body says.",2012
"Cal Ripken Jr.'s mom found safe after being abducted, police say.",2012
Indian Supreme Court puts ban on tiger tourism.,2012
Greek athlete suspended from #Olympic team after offensive Twitter remark.,2012
"North Korea leader Kim Jong Un married, South Korean officials say.",2012
Singer charged with 3rd-degree murder stemming from silicone buttocks injection,2012
"New Orleans police get Justice Dept. mandated changes in policies on use of force, etc.",2012
"Sherman Hemsley, #George_Jefferson on ""The_Jeffersons"" and ""All in the Family"" has died",2012
Killer of Jennifer Hudson's relatives gets three life sentences without parole,2012
"6 million will lose out on Medicaid expansion, Congressional Budget Office says",2012
"John Evans Atta Mills, the president of Ghana, has died, his chief of staff says.",2012
Philly priest gets 3 to 6 years in prison in abuse case.,2012
Egypt names U.S.-educated prime minister.,2012
"Ex-Penn State president: I was abused as child, wouldn't ignore #Sandusky allegations.",2012
"UK adding 1,200 troops for #Olympic security",2012
Latest Amelia Earhart search comes up empty.,2012
LA County Sheriff's Dept. probes whether Katherine #Jackson emotionally &amp; financially mistreated by family members.,2012
"Sally Ride, the first American woman to fly in space, has died. She was 61.",2012
"29,339 pounds of ground beef recalled on #salmonella fears.",2012
"Decision on whether to seek death penalty in Colorado shootings months away, DA says.",2012
Formal charges to be filed July 30 against Colorado shooting suspect James Holmes.,2012
Colorado movie theater shootings suspect James Holmes appears in court.,2012
"Attacks in #Iraq kill at least 76 people, officials say.",2012
"Penn State football program fined $60 million, scholarships cut from 25 to 15 a year for 4 years.",2012
NCAA vacates Penn State's football program of all wins from 1998 to 2011.,2012
"#Penn State banned from bowl games for 4 years, the NCAA announces.",2012
"Attacks in #Iraq kill at least 44 people, officials say.",2012
"President Barack Obama said Sunday the shootings at a #Colorado movie theater were an ""evil act.""",2012
Prominent Cuban dissident Oswaldo #Paya dies in car accident.,2012
Law enforcement source: Semi-automatic rifle in CO theater killings jammed due to problem with 100-shot magazine.,2012
"President #Obama says “it was the right decision” to remove Joe #Paterno statue, spokesman says.",2012
Survivor of #Colorado massacre says suspect's gun jammed. #theatershooting,2012
#Colorado massacre suspect spooked gun range manager. #theatershooting,2012
Source: Afghan police officer kills 3 Americans at training center.,2012
Ernie Els wins British Open as Adam Scott collapses.,2012
Pilot rescued after U.S. jet crash in Japan.,2012
"Source: No ""death penalty"" for Penn State but ""significant, unprecedented penalties"" by NCAA.",2012
"NCAA to announce ""corrective and punitive measures"" against Penn State.",2012
British cyclist Bradley Wiggins wins Tour de France.,2012
Workers have removed Paterno statue.,2012
Penn State will remove statue of former coach Joe Paterno from outside stadium and place it in storage.,2012
Investigators say they believe missing Iowa girls are alive,2012
"Items in #Colorado shooting suspect's apartment: explosives, fireworks, black powder, liquid accelerants",2012
"President Obama be in Aurora, #Colorado, on Sunday to visit shooting victims, family members",2012
"Police ""hopeful"" major threats in #Colorado shooting suspect's apartment cleared",2012
Coroner releases names of #Colorado shooting victims,2012
Rupert #Murdoch has stepped down from string of company boards of directors,2012
"Police chief: ""Evidence of calculation and deliberation"" by #Colorado shooting suspect Watch live:",2012
"Police: Suspect in #Colorado shooting took many deliveries over past 4 months at work, home. Watch live:",2012
Investigators set off controlled detonation at apartment of suspect in #theatershooting.,2012
Bulgarian official: American sought in suicide bus attack that killed Israeli tourists,2012
#Colorado Gov. Hickenlooper: At least 30 people still hospitalized; 11 critical,2012
"#Colorado governor says 58 people, not 59 as reported earlier, were injured in shooting",2012
"Police: #theatershooting suspect purchased 6,000 rounds of ammo over Internet Watch live:",2012
Police now calling case of 2 missing Iowa girls an abduction,2012
"""Dark Knight Rises"" director Christopher Nolan condemns shooting as ""savage"" #theatershooting",2012
Security stepped up at theaters nationwide in wake of #Colorado shooting,2012
"Source: Suspect in #theatershooting entered with patrons, then left to get weapons",2012
"Police: #Colorado #theatershooting suspect told police he was ""the Joker""",2012
Woman who escaped Toronto shooting last month has died in #Colorado #theatershooting,2012
"Police chief: Suspect in #theatershooting wore helmet, vest, leggings, throat protector and groin protector.",2012
Police chief: #theatershooting suspect's apartment appears to have incendiary devices and chemicals.,2012
Police chief confirms that James Holmes' apartment was booby trapped.,2012
"Police chief: 12 killed, 59 wounded in #theatershooting.",2012
"Two Navy personnel and two Air Force reservists wounded in #theatershooting, U.S. official says.",2012
Aspiring sports reporter feared dead in Colorado #theatershooting.,2012
Colorado #theatershooting unfolds in real time on social media.,2012
Police release photo of #theatershooting suspect James Holmes.,2012
"Apartment of #theatershooting suspect James Holmes has ""very sophisticated"" booby trap, police chief says.",2012
"James Holmes tentatively scheduled for court appearance today in #theatershooting, officials say.",2012
"Obama on #theatershooting: ""Such violence, such evil is senseless. It is beyond reason.""",2012
"Federal officials: #Aurora gunman propped open rear door of theater, put on gear, threw tear gas and began shooting.",2012
"James Holmes, 24, is suspect in #Aurora shootings, say two federal law enforcement officials.",2012
Witnesses: #Aurora gunman waited for 2 tear gas canisters to explode before firing into air and then at moviegoers.,2012
"Suspect in #theatershooting was dressed in black, wore bulletproof vest and riot or gas mask, witnesses say.",2012
Police clarify number of wounded in #theatershooting is 38.,2012
"""Items of interest"" found in apartment of #Aurora suspect, says federal law enforcement source.",2012
"#Aurora suspect is local man in his 20s, police say.",2012
"#Aurora gunman tossed tear gas into movie theater, then sprayed audience with gunfire, police say.",2012
Police revise death toll in #Aurora shooting from 14 to 12.,2012
"Colorado movie theater gunman used at least one assault rifle and two handguns, official says.",2012
"Suspect in deadly Colorado movie theater shooting in custody, police say",2012
"Police: 14 people killed, 50 others hurt in early morning shooting at Aurora, Colorado, theater",2012
"Police: 10 dead, 39 others hurt in early morning shooting at Aurora, Colorado theater, KUSA reports",2012
"Hospital: At least 20 hurt in shooting at Aurora, Colorado, movie theater early Friday",2012
"Police responding to shooting at Aurora, Colorado, movie theater",2012
Two die after lightning hits #Kentucky home.,2012
Former hospital worker accused of transmitting #hepatitis C.,2012
CNN exclusive: Congressional insider trading ban might not apply to families.,2012
Al Franken: Comedy partner #Tom_Davis dies.,2012
"Missing #Iowa girl's dad walks out of polygraph session because police accuse him of hurting girls, he says.",2012
"""Queen of Soul Food"" #Sylvia_Woods dead at 86.",2012
New #Yahoo CEO Marissa Mayer nabs $71 million pay package.,2012
"Feds raid Trenton, New Jersey, city hall one day after searching mayor's home.",2012
Arrest made in #Philadelphia attempted child abduction.,2012
"Russia, China veto U.N. sanctions on #Syria.",2012
"Israeli PM: Bus attack ""perpetrated by Hezbollah, Iran's leading terrorist proxy""",2012
64th Primetime #Emmys list of nominees released,2012
"Former Egyptian intel chief Omar Suleiman dies in U.S. hospital, state-run MENA reports",2012
"Suicide bomber carried out Wednesday's deadly bus attack on Israeli tourists, Bulgarian official says",2012
George_Zimmerman to Trayvon_Martin's parents: I'll pray for you daily.,2012
"Judge rules in favor of #Tennessee #mosque, lawyers say.",2012
U.S. government issues another worldwide #security caution.,2012
GAO investigators: Some student pilots in U.S. illegally. #aviation,2012
"President #Obama condemns ""barbaric"" attack on Israeli tourists in Bulgarian bus explosion.",2012
"Israeli intelligence minister: ""Very good indications"" Iran involved in #Bulgaria bus terror attack that killed 6.",2012
USDA says 39 more counties now drought disaster areas.,2012
"3 dead in #Bulgaria bus blast, official says.",2012
"Israeli tourist bus explodes in Bulgaria, foreign ministry says.",2012
"Bomb that killed Syria officials was planted, not suicide attack, rebel leader says.",2012
"3 key members of #Syria government killed in Damascus attack, state-run media report.",2012
#Iceberg twice the size of Manhattan breaks off #Greenland glacier.,2012
Nazi war crimes suspect arrested in #Hungary.,2012
"#Syria defense minister killed in suicide bombing, state-run media report.",2012
"Improvised explosive device kills 11 people near Peshawar, #Pakistan, official says.",2012
N.Y. #Knicks say they won't match Houston Rockets' offer for Jeremy #Lin,2012
FDA approves new prescription diet drug called Qsymia (formerly known as Qnexa).,2012
Senate Republicans block #DISCLOSE_Act for second straight day.,2012
"Nathan Van Wilkins, 44, is charged with 1 count attempted murder after a shooting at a bar in #Tuscaloosa, AL.",2012
#Boy_Scouts leadership affirms policy of excluding 'open or avowed' gays.,2012
Official: Fugitive tried to steal #SkyWest plane.,2012
"Suspect in multiple shootings at Tuscaloosa, Alabama, bar is in custody, police say.",2012
Fed chairman says unemployment expected to stay above 7% through 2014.,2012
"Security contractor concedes that failure to provide enough guards for London Olympics is ""humiliating shambles.""",2012
"Clashes intensify in Syrian capital, opposition activists say",2012
Witness alleges she was abused by suspect in #Trayvon_Martin killing.,2012
"Needles found in airline sandwiches, #Delta says. #aviation",2012
"Report: #HSBC lax in preventing money laundering by cartels, terrorists.",2012
