,text,date,source,value
0,"Ray Wilkins, Chelsea's Mr Nice Guy, hides the hurt | Richard Williams",2010-12-17T20:00:01Z,Guardian,0
1,Snow: UK is closed until further notice,2010-12-17T20:00:00Z,Guardian,0
2,Sir Paul McCartney plays to 300 fans at intimate gig,2010-12-17T19:57:06Z,Guardian,0
3,Kosovo organ donor ring: the Israeli connection,2010-12-17T19:50:52Z,Guardian,0
4,Jessica Ennis warms up for Sports Personality competition,2010-12-17T19:49:28Z,Guardian,0
5,Product placement to be allowed on British television,2010-12-17T19:32:16Z,Guardian,0
6,Lloyds Banking Group admits £4.3bn of losses on Irish loans,2010-12-17T19:31:00Z,Guardian,0
7,US embassy cables: China indifferent to Bashir's prosecution,2010-12-17T19:30:01Z,Guardian,0
8,A temporary win on tax for Obama | Michael Tomasky,2010-12-17T19:30:01Z,Guardian,0
9,Iraqi Christians flee Baghdad after cathedral massacre,2010-12-17T19:26:03Z,Guardian,0
10,Ex-defence minister joins arms firm behind MoD £1.5bn overspend,2010-12-17T19:25:47Z,Guardian,0
11,Michael Gove backtracks over school sport funding,2010-12-17T19:19:30Z,Guardian,0
12,Carine Roitfeld resigns from French Vogue,2010-12-17T19:11:04Z,Guardian,0
13,In praise of Carine Roitfeld,2010-12-17T19:07:30Z,Guardian,0
14,FSA banking code will not cover many City bonuses,2010-12-17T19:05:09Z,Guardian,0
15,Student who conned his way into Harvard says sorry,2010-12-17T19:04:08Z,Guardian,0
16,Video: Julian Assange: 'This has been a very successful smear',2010-12-17T19:02:00Z,Guardian,0
17,Dodgy dealings in tough year for whistleblowers | Ben Goldacre,2010-12-17T19:01:41Z,Guardian,0
18,Madoff friend's estate agrees to repay $7.2bn in Ponzi fraud settlement,2010-12-17T19:01:00Z,Guardian,0
19,WikiLeaks cables: the Dalai Lama is right to put climate change first | Isabel Hilton,2010-12-17T19:00:00Z,Guardian,0
20,Squad sheets: Wigan Athletic v Aston Villa,2010-12-17T19:00:00Z,Guardian,0
21,WikiLeaks cables: India revelations spark political row,2010-12-17T18:54:52Z,Guardian,0
22,Carine Roitfeld steps down as editor of French Vogue after 10 years,2010-12-17T18:51:04Z,Guardian,0
23,Barack Obama stokes liberal fury as tax cuts pushed through Congress,2010-12-17T18:45:40Z,Guardian,0
24,Giant windfarms are lifting hopes – but could the east coast miss the boat?,2010-12-17T18:45:38Z,Guardian,0
25,Woman jailed over retracted rape allegations to challenge conviction,2010-12-17T18:39:46Z,Guardian,0
26,Winter weather in the UK,2010-12-17T18:39:12Z,Guardian,0
27,It's Winston Churchill versus the foreign extremists! Except that it isn't | Jeremy Gavron,2010-12-17T18:36:27Z,Guardian,0
28,Can sleep deprivation help prevent post-traumatic stress disorder (PTSD)? | Mo Costandi,2010-12-17T18:32:18Z,Guardian,0
29,Snowbound? Why not warm up with Darren!,2010-12-17T18:22:33Z,Guardian,0
30,UN accused of risking women and children's health,2010-12-17T18:13:35Z,Guardian,0
31,Q&A: Ireland's position on abortion following human rights ruling,2010-12-17T18:11:42Z,Guardian,0
32,Barcelona provide Arsenal with opportunity to realise their potential | Kevin McCarra,2010-12-17T18:11:07Z,Guardian,0
33,Barcelona's Pep Guardiola 'frightened' of Arsenal in Champions League,2010-12-17T18:05:07Z,Guardian,0
34,Snow and ice bring travel chaos to UK,2010-12-17T18:01:29Z,Guardian,0
35,Brussels demands answers as Italy's new €16m concert hall stays silent,2010-12-17T18:01:20Z,Guardian,0
36,Squad sheets: West Bromwich Albion v Wolverhampton Wanderers,2010-12-17T18:00:14Z,Guardian,0
37,Champion trainer Paul Nicholls' yard snowed in as big freeze bites,2010-12-17T17:59:38Z,Guardian,0
38,Signing off for the holidays with designer talent,2010-12-17T17:58:42Z,Guardian,0
39,Ellis Watson quits Simon Cowell firm,2010-12-17T17:54:38Z,Guardian,0
40,Esquire magazine appoints GQ's Alex Bilmes as editor,2010-12-17T17:52:46Z,Guardian,0
41,Squad sheets: Blackburn Rovers v West Ham United,2010-12-17T17:41:00Z,Guardian,0
42,"Vatican tried to protect paedophile priest, Dublin abuse report shows",2010-12-17T17:39:34Z,Guardian,0
43,Lady Gaga – review,2010-12-17T17:35:40Z,Guardian,0
44,"Hammers and Spurs: ground share, anyone?",2010-12-17T17:32:48Z,Guardian,0
45,Heat magazine's Sam Delaney resigns as editor,2010-12-17T17:30:58Z,Guardian,0
46,Strictly Come Dancing final: Kara Tointon and Artem Chigvintsev,2010-12-17T17:30:47Z,Guardian,0
47,Cuts are already a way of life for Birmingham city council | Andrew Watt,2010-12-17T17:30:01Z,Guardian,0
48,Prisoners to get right to vote – but only if serving less than four years,2010-12-17T17:28:20Z,Guardian,0
49,France threatens Ivory Coast leader with international sanctions,2010-12-17T17:26:58Z,Guardian,0
50,Strictly Come Dancing final: Matt Baker and Aliona Vilani,2010-12-17T17:26:05Z,Guardian,0
51,Christmas cards from politicians past and present,2010-12-17T17:25:34Z,Guardian,0
52,Strictly Come Dancing final: Pamela Stephenson Connolly and James Jordan,2010-12-17T17:21:15Z,Guardian,0
53,Murderer of mother and two young girls 28 years ago is jailed for life,2010-12-17T17:20:23Z,Guardian,0
54,"Autonomy jumps 5% after bid talk and US results, but FTSE falters again on Irish woes",2010-12-17T17:18:07Z,Guardian,0
55,"Freeze EU budget, says Cameron",2010-12-17T17:17:00Z,Guardian,0
56,The Right Word: Repeal healthcare or die | Sadhbh Walshe,2010-12-17T17:12:00Z,Guardian,0
57,Music Weekly podcast: Saint Etienne's Bob Stanley on our Christmas special,2010-12-17T17:10:28Z,Guardian,0
58,BNP and equality group both claim victory in legal wrangle,2010-12-17T17:09:34Z,Guardian,0
59,Flickr staff among job cuts amid Yahoo bloodletting: what is its future?,2010-12-17T17:08:38Z,Guardian,0
60,Today's mystery bird for you to identify,2010-12-17T17:06:07Z,Guardian,0
61,Martin Scorsese and Robert De Niro gang up for new mafia film,2010-12-17T17:05:33Z,Guardian,0
62,Squad sheets: Blackpool v Tottenham Hotspur,2010-12-17T17:05:00Z,Guardian,0
63,Squad sheets: Sunderland v Bolton Wanderers,2010-12-17T17:05:00Z,Guardian,0
64,Autumn colours competition winner,2010-12-17T17:00:05Z,Guardian,0
65,Q&A best bits: How to get your social enterprise ready for investment,2010-12-17T17:00:01Z,Guardian,0
66,"When the snow hits the fan, get real and stay home | Lionel Shriver",2010-12-17T17:00:01Z,Guardian,0
67,David Cameron mocks parliamentary expenses body as a four letter word,2010-12-17T16:57:33Z,Guardian,0
68,Squad sheets: Manchester City v Everton,2010-12-17T16:57:00Z,Guardian,0
