,text,date,source,value
0,Lady Gaga Album Zooms to Megahit Status,2011-06-01T00:00:40+0000,NY_TIMES,0
1,The Latest From FarmVille’s Creator: Empire and Allies,2011-06-01T00:00:49+0000,NY_TIMES,0
2,Elite Colleges and Economic Diversity,2011-06-01T00:04:24+0000,NY_TIMES,0
3,"And Now, a Moment With Todd English’s Mother",2011-06-01T00:07:07+0000,NY_TIMES,0
4,"A Look at Taproom No. 307, and Thoughts About a Gravesend Saloon",2011-06-01T00:07:08+0000,NY_TIMES,0
5,Not Ready to Retire,2011-06-01T00:07:53+0000,NY_TIMES,0
6,Immigrants in Europe,2011-06-01T00:09:06+0000,NY_TIMES,0
7,Palin Visits Trump in New York,2011-06-01T00:11:21+0000,NY_TIMES,0
8,New Insider Trading Trial Set to Begin,2011-06-01T00:13:37+0000,NY_TIMES,0
9,Room Has a View at Roland Garros,2011-06-01T00:14:31+0000,NY_TIMES,0
10,"Qualified Immunity, Unqualified Doubt",2011-06-01T00:16:52+0000,NY_TIMES,0
11,Mortgage Company Settles Maternity Leave Case,2011-06-01T00:21:16+0000,NY_TIMES,0
12,How to File a Mortgage Bias Complaint,2011-06-01T00:27:23+0000,NY_TIMES,0
13,Hooked on Meat,2011-06-01T00:30:48+0000,NY_TIMES,0
14,Hands Off Our Houses,2011-06-01T00:31:18+0000,NY_TIMES,0
15,"Battle for Libya | May 31, 2011",2011-06-01T00:33:19+0000,NY_TIMES,0
16,NATO Resumes Airstrikes After Qaddafi Vows to Fight On,2011-06-01T00:36:17+0000,NY_TIMES,0
17,New York Sues Over a Drilling Rules Plan,2011-06-01T00:37:35+0000,NY_TIMES,0
18,Officers’ Accuser Says She Was Devastated by Verdict,2011-06-01T00:38:21+0000,NY_TIMES,0
19,Sales Tactics on Implants Raise Doubts,2011-06-01T00:46:58+0000,NY_TIMES,0
20,U.S. Reduces Estimates of Homeless in Haiti Quake,2011-06-01T00:50:38+0000,NY_TIMES,0
21,Non Means Non,2011-06-01T00:51:25+0000,NY_TIMES,0
22,Does Chela Have Any Chance Against Murray?,2011-06-01T00:55:38+0000,NY_TIMES,0
23,"In Unusual Move, Apple Previews New Software Plans",2011-06-01T01:01:24+0000,NY_TIMES,0
24,Egypt’s Military Censors Critics as It Faces More Scrutiny,2011-06-01T01:02:24+0000,NY_TIMES,0
25,Waiting for a School Miracle,2011-06-01T01:03:33+0000,NY_TIMES,0
26,"Inseparable Teammates, as Opposite as Can Be",2011-06-01T01:15:22+0000,NY_TIMES,0
27,Overrated? Rodriguez and Chamberlain Can Laugh About It,2011-06-01T01:16:58+0000,NY_TIMES,0
28,The Caucasus: New Allies for Breakaway Region,2011-06-01T01:23:41+0000,NY_TIMES,0
29,Tracking Financial Crisis Cases,2011-06-01T01:26:00+0000,NY_TIMES,0
30,The Bin Laden Decade,2011-06-01T01:27:44+0000,NY_TIMES,0
31,S.E.C. Case Stands Out Because It Stands Alone,2011-06-01T01:28:37+0000,NY_TIMES,0
32,"As Mets’ Image Slumps, So Does Attendance",2011-06-01T01:33:41+0000,NY_TIMES,0
33,Lottery Numbers,2011-06-01T01:34:06+0000,NY_TIMES,0
34,Abuse of Circus Animals,2011-06-01T01:36:58+0000,NY_TIMES,0
35,Officer Shoots an Unarmed Suspect in Brooklyn,2011-06-01T01:37:18+0000,NY_TIMES,0
36,Pentagon to Consider Cyberattacks Acts of War,2011-06-01T01:39:20+0000,NY_TIMES,0
37,Pronounce It: Carnegie Hall,2011-06-01T01:39:46+0000,NY_TIMES,0
38,TimesCast | Lone Prosecution,2011-06-01T01:43:56+0000,NY_TIMES,0
39,Reconstruction Lifts Economy After Disasters,2011-06-01T01:43:59+0000,NY_TIMES,0
40,Surgery Not Option for Carter’s Tumors,2011-06-01T01:44:59+0000,NY_TIMES,0
41,From Senator Jeanne Shaheen: Prison Overcrowding,2011-06-01T01:45:07+0000,NY_TIMES,0
42,A Step Back for Learning Languages,2011-06-01T01:50:02+0000,NY_TIMES,0
43,A Political Revival for Ralph Reed,2011-06-01T01:53:28+0000,NY_TIMES,0
44,Bahrain’s Latest Promises,2011-06-01T01:54:41+0000,NY_TIMES,0
45,"East Side Law Firms Go West, as Far as Eighth Ave.",2011-06-01T01:56:07+0000,NY_TIMES,0
46,Transit Hub in Maryland Gets a Second Chance,2011-06-01T01:56:11+0000,NY_TIMES,0
47,Who Needs Health Care Reform?,2011-06-01T01:56:50+0000,NY_TIMES,0
48,"The Long, Hot Forecast",2011-06-01T01:59:48+0000,NY_TIMES,0
49,Rutgers President Will Step Down in 2012 but Stay on Campus to Teach,2011-06-01T02:00:27+0000,NY_TIMES,0
50,Wednesday: Garden Party,2011-06-01T02:00:29+0000,NY_TIMES,0
