,text,date,source,value
0,U.S. Allies Denounce Trump’s Tariffs Decision,2018-06-01T00:24:51+0000,NY_TIMES,0
1,Dinesh D’Souza? Really?,2018-06-01T00:30:14+0000,NY_TIMES,0
2,Cuomo Finally Says the Obvious: He Backs the Transit Rescue Plan,2018-06-01T00:45:18+0000,NY_TIMES,0
3,Quotation of the Day: Jury in Wrongful Death Suit Gives $4 to Family of Black Man Shot by Deputies,2018-06-01T00:56:45+0000,NY_TIMES,0
4,Review: Jim Parsons and Zachary Quinto Enter Sniping in ‘The Boys in the Band’,2018-06-01T01:45:04+0000,NY_TIMES,0
5,"Corrections: June 1, 2018",2018-06-01T01:48:57+0000,NY_TIMES,0
6,Winter Carnival Spectacle,2018-06-01T02:00:01+0000,NY_TIMES,0
7,Watch Now: Excerpts From the 25 Best New American Plays,2018-06-01T02:21:13+0000,NY_TIMES,0
8,Old Pest Torments Mets: The Injury Bug,2018-06-01T03:00:58+0000,NY_TIMES,0
9,Archdiocese in Minnesota Plans to Settle With Abuse Victims for $210 Million,2018-06-01T03:10:10+0000,NY_TIMES,0
10,Anatomy of a Scene | ‘Adrift’,2018-06-01T03:45:30+0000,NY_TIMES,0
11, The Ones We Left Behind,2018-06-01T03:47:06+0000,NY_TIMES,0
12,Yankees Endure Another Postponement,2018-06-01T03:53:55+0000,NY_TIMES,0
13,When Neither Male Nor Female Seems to Fit,2018-06-01T04:00:01+0000,NY_TIMES,0
14,Election Day for a Beleaguered Turkish Soccer Power,2018-06-01T04:02:01+0000,NY_TIMES,0
15,"Tariffs, Italy, Telegram: Your Friday Briefing",2018-06-01T04:07:04+0000,NY_TIMES,0
16,"From ‘The Wire’ to ‘2001: A Space Odyssey,’ New Books Cover Screens Big and Small",2018-06-01T04:10:53+0000,NY_TIMES,0
17,Moths Aren’t All Bad and Nightingales Love Pasta,2018-06-01T04:10:58+0000,NY_TIMES,0
18,"We’ll Always Have Paris: Also Isfahan, Khartoum and Calcutta",2018-06-01T04:11:04+0000,NY_TIMES,0
19,From Hip-Hop to Christian Rock,2018-06-01T04:11:08+0000,NY_TIMES,0
20,From Vegan Barbecue to Apple Pie: New Cookbooks for Everyone,2018-06-01T04:11:12+0000,NY_TIMES,0
21,8 Summer Romance Novels,2018-06-01T04:11:16+0000,NY_TIMES,0
22,6 Pulse-Pounding Summer Thrillers,2018-06-01T04:11:20+0000,NY_TIMES,0
