class,word_count,question_mark,exclamation_mark,start_digit,start_question,longest_word_len,avg_word_len,ratio_stopwords
1,8,0,0,1,0,11,5.125,0.25
1,14,0,0,1,0,10,4.857142857142857,0.42857142857142855
1,13,0,0,0,0,12,5.230769230769231,0.3076923076923077
1,15,0,0,0,0,10,4.866666666666666,0.3333333333333333
1,13,0,0,0,0,9,5.0,0.3076923076923077
1,12,0,1,0,0,10,5.75,0.25
1,15,0,0,0,0,8,4.2,0.3333333333333333
1,20,0,0,0,0,9,4.1,0.55
1,13,0,0,0,0,8,4.153846153846154,0.23076923076923078
1,8,0,0,0,0,11,5.125,0.125
0,16,0,0,0,0,14,5.388888888888889,0.4444444444444444
0,10,0,0,0,0,10,6.2,0.1
0,9,0,0,0,0,8,5.0,0.3333333333333333
0,8,0,0,0,0,12,5.875,0.25
0,10,0,0,0,0,12,5.4,0.1
0,8,0,0,0,0,11,5.375,0.125
0,12,0,0,0,0,11,5.25,0.4166666666666667
0,12,0,0,0,0,10,6.0,0.25
0,10,0,0,0,0,9,5.4,0.2
0,9,0,0,0,0,7,5.111111111111111,0.1111111111111111
