,full_title,date
0,48-hour travel suspension from UK to Ireland over coronavirus strain,2020
1,"764 further Covid-19 cases confirmed, four further deaths",2020
2,"Gardaí intervene following ""disgraceful gathering of persons"" in Cork",2020
3,McDonalds in China launch a limited edition 'Spam and Oreo' Burger,2020
4,Here are the 8 best movies on TV on Sunday,2020
5,Ireland considering banning travel to and from the UK following new coronavirus strain,2020
6,"Over €120,000 worth of cocaine seized in Kildare",2020
7,Tony Holohan insists people should stay away from restaurants and pubs,2020
9,"527 new Covid-19 cases confirmed, five further deaths",2020
10,Eminem apologises to Rihanna over Chris Brown lyric in new song,2020
11,Here are the 7 best movies on TV on Saturday,2020
12,Inter-county travel may be permitted until 6 January,2020
13,The worst Eminem lyrics of the past 10 years,2020
15,Irish stars perform lovely rendition of 'Raglan Road' for Simon Community,2020
16,DSPCA urges people to 'adopt not shop' this Christmas,2020
17,Gardaí call on Mayo and Dublin supporters to follow public health regulations this weekend,2020
18,The perfect turkey curry recipe to try this Christmas,2020
19,Stuck for Christmas ideas? Here are 10 great tech gifts,2020
20,"Sony pulls Cyberpunk 2077 from PlayStation store following complaints, will offer full refunds",2020
23,Irish band's Christmas song picked out by Grammy-winning Adele producer,2020
24,"582 new cases of Covid-19 confirmed in Ireland, six more deaths",2020
25,,2020
26,Dr Tony Holohan: Social contact has increased to a level we can't cope with,2020
27,"Kristen Wiig hilariously went ""full cat"" for her role as a Wonder Woman 1984 villain",2020
28,You can still enjoy all the magic of Christmas at Jervis Shopping Centre and find that perfect gift with our helpful guide,2020
29,Help Ireland's elderly people with Vodafone and ALONE this Christmas,2020
33,Worldwide rights bought for new Irish film being made about a childhood tainted by the residue of war,2020
35,Micheál Martin says that the banks were not bailed out,2020
36,"Six further Covid deaths confirmed, 431 new cases",2020
38,Tom Cruise goes mad at film crew for not following Covid-19 precautions in leaked audio,2020
39,"Cars, consoles, vouchers and other goodies in this incredible Vodafone giveaway",2020
42,WHO urges families to wear face masks during Christmas gatherings this year,2020
43,"Vaccination certificates part of Covid-19 vaccine plan, says Minister for Health",2020
44,Two Gardaí assaulted in separate incidents in Louth,2020
45,"Wonder Woman 1984 director Patty Jenkins on the movie's rollercoaster ""Irish moment""",2020
46,"Eight further Covid-19 deaths confirmed, 329 new cases",2020
47,WATCH: Fitbit shows what 2020 would sound like if it was translated into a score of music,2020
49,Man in his 70s dies in Leitrim road crash,2020
50,Here's the first trailer for the new Apple TV+ Billie Eilish documentary,2020
52,Here are the best movies on TV this evening,2020
53,"Doctor Tony Holohan says we won't see positive impact of vaccine for ""months""",2020
54,Nate Diaz says Jake Paul needs his 'ass beat for free',2020
