full_title,date
House passes $900 billion #debt limit increase,2011
"20 no votes now from GOP, time has expired for vote",2011
"GOP debt bill passes the House, 17 no votes by GOP, not a single yes vote from House democrats, live coverage here:",2011
"FLASH: House Republicans have enough votes to pass Boehner debt plan, voting continues",2011
"Vote underway on GOP debt plan bill in the House, WATCH LIVE:",2011
"Speaker John Boehner speaking on the House floor now, WATCH LIVE:",2011
"FLASH: Bill Gates sells 5,000,000 shares of Microsoft for average $27.59 each on July 27, 2011 -SEC filing $MSFT",2011
Wall Street posts worst week in year on debt woes,2011
"Moody's likely to affirm U.S. rating, negative outlook",2011
"FLASH: Moody's says Reid, Boehner plans to cut deficit would still lead to negative outlook on AAA rating",2011
"Flu ""super antibody"" may bring universal shot closer",2011
Libya rebel oil minister: Younes killed by rebels who were sent to bring him from the front line for questioning,2011
Tea Party shows its clout in debt debate,2011
"Americans press Congress on debt via phones, Twitter",2011
FLASH: House to vote on revised Boehner debt plan between 6:00 and 7:30 pm EDT -Republican aide,2011
Nixon's secret Watergate testimony ordered released,2011
RT @reuterspictures: Barry Malone on covering East Africa's famine and drought,2011
Obama unveils sharp increase in fuel economy standards for cars and trucks by 2025,2011
"President Obama tells deeply divided Republicans and Democrats to stop bickering and find a way ""out of this mess""",2011
Turkey's military chiefs resign: report,2011
Lebanon tribunal names four suspects in Hariri killing,2011
Obama says time is running out for debt deal,2011
"Growth anemic, debt fight poses recession risk",2011
Moody's threatens Spain rating cut,2011
UK foam pie protester admits assault on Murdoch,2011
No fanfare for second British royal wedding,2011
Special Report: Is Israel Inc. too powerful?,2011
Blog by Reuters photographer Goran Tomasevic: My most miserable day,2011
"No sexy girls please, China tells online game fair",2011
"Spain's PM calls election in Nov, four months early",2011
Angry families mourn China train crash victims,2011
Norway to hold first funeral after killings,2011
Bush explains slow reaction to September 11 attacks,2011
Republican rebels force new delay in debt crisis,2011
FLASH: House of Representatives will not vote on Boehner debt plan tonight: Rep. McCarthy,2011
Republicans delay vote on Boehner debt bill,2011
FLASH: House plans to vote later on Thursday on Republican debt bill -Republican aide,2011
Microsoft use of low-tax havens drives down tax bill,2011
Libyan rebels say their military chief shot dead,2011
FLASH: Libyan Rebel leader says military chief Abdel Fattah Younes is dead,2011
"RT @reuterspictures: Photographer's blog - Goran Tomasevic on his time in South Sudan in ""My most miserable da… (cont)",2011
Debt bill set for vote as White House urges compromise,2011
Madoff trustee in $1 billion settlement with Tremont,2011
Mother of British schoolgirl murdered in 2000 on #phonehacking list: report,2011
U.S. Army soldier arrested with bomb-making materials near Fort Hood,2011
"Strauss-Kahn accuser to file civil suit ""soon""",2011
DSK accuser press conference has begun WATCH LIVE,2011
DSK accuser press conference LIVE HERE,2011
NJ Governor Christie hospitalized with breathing trouble,2011
BSkyB board unanimously backs James Murdoch: source,2011
FLASH: Local media reports New Jersey Governor Chris Christie taken to hospital with breathing trouble,2011
FLASH: BSkyB board unanimously backs James Murdoch -source $BSY,2011
"HSBC may cut more than 10,000 jobs: report",2011
"Credit Suisse cuts 2,000 jobs as poor trading hurts results",2011
Health bill to account for 20 percent of spending by 2020,2011
Lawmakers eye tax break for mortgage interest as they look for ways to fill record budget deficits,2011
"In a rundown patch of Detroit, Goldman Sachs has transformed an unremarkable warehouse into a money-making machine",2011
U.S. may be entering age of political deadlock,2011
What to expect Thursday in debt crisis,2011
Debt crisis a big test for @SpeakerBoehner,2011
Scenarios: Obama's options if no deal on debt ceiling hike,2011
Republican debt plan faces close vote in Congress,2011
FLASH: 18 people killed and 35 wounded in attacks in Afghanistan's southern Uruzgan - Health official,2011
Mobile use doesn't alter kids' cancer risk: study,2011
"Norway police face review, think killer acted alone",2011
"The deadly train crash in China this month was due to a design flaw of signal equipment, the Xinhua News Agency reports",2011
Lawmaker probing whether Treasury meddled in S&P rating,2011
The Reuters legal site (,2011
"Al Qaeda-affiliated group in Somalia, al Shabaab, recruited dozens of Muslim Americans -congressional report",2011
UK police arrest suspected teenage hacker,2011
Obama's leadership image on the line in debt saga,2011
"U.S. ""running on fumes"" if no debt limit deal: White House",2011
"Wall Street suffers worst day in eight weeks, hit by weak earnings, lackluster economic data and stalled debt talks",2011
Venezuela's Hugo Chavez mocks succession talk,2011
Treasury warns may not be able to pay bills after August 2,2011
"Nasdaq spends to fend off ""constant"" hack attacks",2011
Dunkin' Brands shares soar in debut,2011
Senate Democrats debt plan saves $2.2 trillion: CBO,2011
Russian Prime Minister Vladimir Putin considering Kremlin return: sources,2011
Gold hits record as U.S. debt fears deepen,2011
Exclusive: SEC builds new tips machine to catch the next Madoff,2011
Will the sky fall on Aug. 2 if Congress fails to raise the debt ceiling? Here's what Wall St. analysts have to say,2011
Bid to break #debt impasse faces new obstacles,2011
Reuters.com has a new look -let us know what you think! #reutersrefresh,2011
Runaway bride dishes on sex(less) life with Hefner,2011
Oslo station partly evacuated due suspicious suitcase,2011
FLASH: Parts of Oslo central train station evacuated due to suspicious suitcase - NTB news service,2011
"Obama seeks ""Plan B"" as debt plans stall",2011
CORRECTION: House delays vote on Boehner debt plan after budget experts said it would not deliver spending cuts claimed,2011
House delays vote on Boehner debt plan after budget experts said it would not delay the spending cuts it claimed,2011
Elizabeth Warren to leave consumer financial agency,2011
"McDonald's Happy Meals get apples, fewer fries",2011
Facebook tackles face-recognition privacy concern,2011
Downgrade or default - which is the worse of two evils?,2011
Factbox: Details of competing debt limit plans,2011
Americans back mixed solution for debt crisis: Reuters/Ipsos poll,2011
FLASH: 56 percent of Americans want combination of spending cuts and tax hikes to solve budget deficit -Reuters/IPSOS poll,2011
"S&P, Moody's execs to testify before Congress",2011
"U.S. will lose its top-notch AAA credit rating from at least one major rating agency, according to a Reuters poll",2011
"Constitution debt option ""not available"": White House",2011
"FLASH: White House says 14th amendment option to avoid debt limit ""is not available""",2011
Oregon lawmaker Daivd Wu to resign,2011
FLASH: Democratic Representative David Wu to resign: spokesman,2011
At least 122 firearms from a botched U.S. undercover operation have been found at crime scenes in Mexico,2011
Family say farewell to Amy Winehouse,2011
"Norwegian killer probably insane, his lawyer says",2011
Billionaire investor George Soros to manage money only for himself as new regulations crimp hedge fund industry,2011
The politics behind @SpeakerBoehner 's two-step debt hike,2011
Congress deadlocked over debt as default looms,2011
Moroccan army says military plane crash kills 78,2011
Moroccan army says military plane crash kills 78,2011
"FLASH: Moroccan army says 78 killed, 3 severely wounded in military plane crash",2011
"FLASH: Morocco's official news agency says ""dozens"" were killed in  military plane crash",2011
"FLASH: At least 20 killed in Moroccan military plane crash, 70 passengers were on board - Lakome.com news website",2011
FLASH: C-130 military plane crashes in Morocco - Official news agency,2011
Obama urges compromise to avoid reckless default,2011
"Obama says temp 6-month extension of debt ceiling doesn't solve the problem, may not be enough to avoid credit downgrade",2011
Details of competing #debt limit plans,2011
Head of U.S. cyber agency resigns suddenly,2011
CEOs count on cash to cushion #default risk,2011
FLASH: White House says Obama to make address on #debt limit at 9:00 pm EDT,2011
Lawmakers locked in standoff over dueling #debt plans that offer little prospect for compromise,2011
Strauss-Kahn's accuser: Schemer or immigrant survivor?,2011
"""Why didn't you come earlier?,"" survivors asked police",2011
NFL players and owners reach deal to end lockout,2011
FLASH: NFL team owners and players agree on terms to end labor disputer,2011
"At least 100,000 attend Oslo anti-violence rally",2011
Nancy Pelosi seeks ethics probe of Oregon Democrat Representative David Wu,2011
Inquest opens into Amy Winehouse's death,2011
Chrysler and UAW seek deal without arbitration,2011
News Corp's UK political meetings to be documented,2011
China's effort to muzzle news of train crash sparks outcry,2011
#Norway revises down attack death toll to 76,2011
FLASH: Norwegian police say number of dead in shooting falls to 68,2011
"BlackBerry maker RIM to cut 2,000 jobs",2011
"Moody's cut Greece's credit rating further into junk territory, says almost certain to slap a default tag on its debt",2011
Lawmakers split as #debt deadline looms,2011
Breivik planned red wine treat before attack,2011
"Norway attacker detained, claims collaborators",2011
FLASH: Norwegian court declines to elaborate on gunman's claim of '2 more cells' in his organization,2011
FLASH: Norwegian judge says gunman said he worked with 'two more cells in organisation',2011
"FLASH: Norwegian judge says orders 8 weeks detention for gunman; orders solitary confinement, ban on newspapers, visitors, letters",2011
"FLASH: Norwegian judge says gunman confessed to bombs, shootings in court; did not admit criminal guilt",2011
FLASH: Norwegian court says to shut hearing on bomber gunman Anders Behring Breivik to press,2011
Apple juggernaut to see more China gains as telcos ring deal,2011
TIMELINE - How U.S. debt talks spiraled into crisis,2011
Excerpts from the diary of the Norwegian arrested for the killing of at least 93 people,2011
Norway mass killer wants time in court to tell why,2011
GM clashed with Kremlin over Opel unit: report,2011
Lawmakers still divided as debt deadline looms,2011
Reid: Republican debt-limit plan a nonstarter,2011
"Stock futures, dollar fall on no debt deal",2011
"Officials scramble for debt deal, markets on edge",2011
Analysis: Companies churn out profits but jobs don't follow,2011
Timeline: How the debt talks spiraled into crisis,2011
Analysts say the scale and brutality of the attacks shatter Norway's self-image as a peaceful nation.,2011
Analysis: Markets to hold U.S. feet to fire as default threatens,2011
"Wall Street feeling the heat on debt, earnings",2011
New York state celebrates first same-sex marriages,2011
Officials scramble for debt deal as clock ticks,2011
#Norway mourns victims of anti-Islam attacker,2011
Geithner confident U.S. debt deal will get done,2011
"FLASH: Boehner says debt deal likely to be two-stage process, not possible to do it in one",2011
"FLASH: Geithner says unthinkable for U.S. not to meet its debt obligations, confident deal will get done",2011
FLASH: Death toll in Norway attacks rises to 93 from 92 after person injured in shooting dies in hospital - NRK broadcaster,2011
Two  grandmothers became New York state's first legally wed same-sex couple,2011
"Norway suspect deems killings atrocious, expresses willingness to explain himself in upcoming court hearing",2011
"Blasts rock Tripoli, #Libya state TV says NATO strikes",2011
"FLASH: U.S. Sen. Reid says Republican unwillingness to compromise on debt deal ""is pushing us to the brink of a default""",2011
"Norway massacre suspect calls his deed necessary, his lawyer says",2011
Former joint chiefs head Shalikashvili reported dead,2011
Congress aims for debt deal by Monday: GOP aide,2011
White House warns Congress not to play politics with debt,2011
UK singer Amy Winehouse found dead: report,2011
FLASH: British singer Amy Winehouse found dead at her home in London: Sky News,2011
U.S. wastes $34 billion in Afghan and Iraq contracting,2011
China train crash kills 11 people and 89 hospitalized,2011
