full_title,date
Gardaí break up gathering of 800 people at 'car meet',2020
UK wants 'substantial move' in Brexit fisheries talks,2020
Christmas carols help soothe cows on Wicklow dairy farm,2020
Sunlight floods inner chamber of Newgrange tomb,2020
New Covid-19 strain 'out of control' in UK - Hancock,2020
"One arrest after €131,500 drug seizure in Kildare",2020
"'Stay away from pubs and restaurants,' urges Holohan",2020
"Sinn Féin takes lead over Fine Gael, new poll suggests",2020
Coast Guard rescue dog in Clontarf,2020
Cork river gets longest concrete beams in Ireland,2020
Ambulances cross border amid rising Covid-19 cases,2020
Gardaí uncover 'shebeen' and breaches in gastro-pubs,2020
Eleventh-hour Brexit talks 'extremely difficult',2020
France charges Epstein ex-associate for sex crimes,2020
Americans rolling up their sleeves for vaccine rollout,2020
Appeal to save conjoined twins in Yemen,2020
Brexit talks: Last-minute agony over fish and state aid,2020
Adventurer Tim Severin dies aged 80,2020
700 Bank of Ireland non-branch ATMs sold to Euronet,2020
This broken year of Covid has fractured all our lives,2020
Former State pathologist Prof John Harbison dies,2020
US authorises Moderna as second Covid-19 vaccine,2020
US Space Force members now 'Guardians' of the galaxy,2020
South Africa reports 'severe' new variant of Covid-19,2020
US bill can kick Chinese companies off stock exchanges,2020
US car park transforms into Covid-19 care unit,2020
Parcel Motel suspending UK virtual address service,2020
"Plane flying 'like a torpedo', Offaly inquest hears",2020
Coco's Law: Online harassment bill passes Seanad,2020
Motorist arrested twice over six-hour period,2020
Dublin fans look for sixth All Ireland in a row,2020
"Ticket selling firm's €318,000 fraud claim in court",2020
Manchester police chief resigns over unrecorded crimes,2020
Government to pull down the shutters for New Year's Eve,2020
Concern over rise in deportations to UK ahead of Brexit,2020
Ireland to join EU police database from 1 January,2020
Public transport busy as travel restrictions lifted,2020
Europol assists in cracking pistachio crime gang,2020
"143 fatalities on Irish roads, up on last year",2020
Queues form early for Capuchin food vouchers,2020
Swiss parliament approves same-sex marriage bill,2020
WWII bomb 'caught' by trawler blown up off Iceland,2020
Cyber attack on US government poses 'grave risk',2020
Stormont hosts virtual North South conference,2020
Star Wars actor Jeremy Bulloch dies aged 75,2020
Almost 350 schoolboys kidnapped in Nigeria are rescued,2020
New plaque unveiled for Thin Lizzy star Phil Lynott,2020
Podcast: Ep. 69 Access To Vaccines,2020
"Christmas parties, funerals linked to Covid outbreaks",2020
West Cork farmer elected as new ICSA president,2020
Cork and Dublin prepare for All-Ireland football final,2020
'Failure' to save lives during pandemic - Sweden's king,2020
Two months in prison for man over face mask offence,2020
Putin rejects reports Russia poisoned Navalny,2020
Schools will not close early for Christmas - Minister,2020
"€140,000 cocaine seizure in Kildare, two men arrested",2020
Meath gardaí thrilled by Christmas card appeal response,2020
Concerns raised over €14m spend on unused ventilators,2020
Man extradited from US over dangerous driving charge,2020
Proposals outlined to make hate speech a crime,2020
Fishing industry warns of no-deal Brexit consequences,2020
Covid-19 vaccinations to begin on 27 December in EU,2020
Podcast: Georgia on Our Minds,2020
Trump administration trying for mini US-UK trade deal,2020
"11,000 positive tests in Wales missing from figures",2020
"Maradona's body must be conserved for DNA, court rules",2020
Sydney takes action to control Covid-19 outbreak,2020
Melbourne towers lockdown 'violated human rights',2020
Mayo gift card initiative delivers €170k for businesses,2020
3.4% economic growth despite record unemployment - ESRI,2020
Appeal for driver who left scene of fatal Galway crash,2020
"All pupils, staff at Co Kerry school to be Covid tested",2020
US states accuse Google of anti-competitive practices,2020
Man in his 70s dies following road crash in Co Cork,2020
Watch: DART driver greeted by platform proposal,2020
Court appeal over hospital care of brain injured boy,2020
True identity of Streedagh beach 'Butter Boat' revealed,2020
Tom Cruise shouts at film crew for breaking Covid rules,2020
TG4 calls for overhaul of broadcasting funding model,2020
Dog rescued from alligator becomes Sheriff's deputy,2020
Man sentenced to 30 years over Charlie Hebdo killings,2020
'No doubt' intervention needed over Covid-19 in NI,2020
Damages cannot be awarded over Hyde Park bombing,2020
Who is in US President-elect Joe Biden's cabinet?,2020
"Facebook doesn't want data transfer inquiry, court told",2020
Dáil record corrected to reflect judicial decision,2020
"State did not bail out banks, Taoiseach tells Dáil",2020
Green leadership attempts to allay concerns over CETA,2020
Adult cautions for minor cannabis possession offences,2020
"Man charged with 26 counts of sexual, indecent assault",2020
Air pollution a cause of nine-year-old's death in UK,2020
Irish Red Cross honours plane crash victim Mick Ryan,2020
Public health expert warns of travelling over Christmas,2020
McAleese joins call for ban on LGBT+ conversion therapy,2020
Two gardaí injured in separate assaults in Dundalk,2020
Adoption Authority calls for information archive,2020
Ambulances no longer queuing at Antrim hospital,2020
"NZ child abuse inquiry finds 250,000 harmed in care",2020
Kangaroos can learn to communicate with humans - study,2020
€5.8m in grants from RTÉ Does Comic Relief announced,2020
High tide passes without flooding Cork city centre,2020
No vaccine access for 25% of world until 2022 - report,2020
TUI executive recommends rejection of public pay deal,2020
British royal couple agree Spotify podcast deal,2020
€3m training and upskilling fund for Debenhams workers,2020
Appeal after cash-in-transit robbery in Dublin city,2020
"Monaghan has highest rate of Covid deaths per 100,000",2020
US authorises first at-home Covid-19 test,2020
NLI collects news2day artwork for archive,2020
Belturbet bombing investigation raised in Dáil,2020
Man dies in Leitrim road crash,2020
Clarification required on vaccine IT system - Shortall,2020
Donegal tragedy mother: 'Remember how precious life is',2020
Parents of brain-injured boy in appeal over treatment,2020
Chicago gets behind 'Mayo for Sam' ahead of All-Ireland,2020
Agencies in Clare develop Domestic Abuse Resource Pack,2020
Cork's 'Shakey Bridge' to reopen following €1.7m revamp,2020
Hospital apologises over man's care prior to his death,2020
Company fined over unsolicited premium rate texts,2020
Irish concerns over 'displacement' of EU fishing boats,2020
What you need to know about Govt vaccination plan,2020
Italian PM warns more restrictions needed at Christmas,2020
"Woman jailed over €760,000 theft from her employer",2020
Sinn Féin calls on Govt to 'show up' for student nurses,2020
"Fewer 2021 exams, more generous grading for NI students",2020
"HAP recipients struggling to pay rents, say charities",2020
Couple sentenced over money laundering for Kinahans,2020
Report shows nursing home shortcomings during pandemic,2020
HIQA: Hospital did not isolate patients during outbreak,2020
Fewer people dying in hospital from acute conditions,2020
Property owners urged to prepare for Cork city flooding,2020
"Man arrested after cocaine worth almost €65,000 seized",2020
11 killed in fire at nursing home in Russia,2020
Brexit negotiators making some progress - Coveney,2020
Levels of nutrients in Irish waters increasing - EPA,2020
Plan for new Judicial Appointments Commission announced,2020
Ibec forecasts economic growth of 0.8% for 2020,2020
Sligo hazard warning lifted following garage fire,2020
Man challenges State's decision to stop his PUP,2020
Five things we learned from the Covid-19 briefing,2020
Organisation claims it was 'ostracised' from pay talks,2020
Roma's Cristante banned for one-match for blasphemy,2020
Suspected Russian hackers spied on global governments,2020
GMIT apologises for lecturer Zoom comments,2020
Report highlights pay gap for migrant workers,2020
"Court approves €282,000 settlement over Donegal death",2020
Equestrian vet suspended from register for two months,2020
Two Green TDs say they will not back Govt CETA motion,2020
British govt to spend £3m marking NI centenary,2020
"Number of people receiving the PUP falls by 42,000",2020
Virgin Media sues Eir over alleged payment failure,2020
Dublin is 11th most costly city in Europe to live in,2020
Man threatened bookies staff with toilet brush handle,2020
Amazon data centre to heat Dublin homes and offices,2020
Arrest after drugs worth €96k seized in Rathgar,2020
Five Covid deaths and 419 new cases in Northern Ireland,2020
7 attend Mayo school amid Covid response concerns,2020
