# every headline enclosed in quotes "" so commas can exist in headlines
,headline,source,class,date
0,"15 Hilariously Amazing Gay Tweets From This Week", Buzzfeed, 1, 2020
1,"18 Famous Actors Who Have A Completely Different Reputation In The UK And Ireland", Buzzfeed, 1, 2020
2,"The science deniers are losing: Support for immunization jumps in new Gallup poll", Upworthy, 1, 2020
3,"Dr. Biden's response to the sexist op-ed suggesting she drop her title was pure perfection", Upworthy, 1, 2020
4,"Pornhub Announces They’ll Plant Two More Pornstars For Every One They Cut Down", Waterford Whispers, 1, 2020
5,"Amazing! These Kids In China Have Already Turned Around Knock-Off Apple Headphones", Waterford Whispers, 1, 2020
6,"People On Facebook Are Sharing Funny Pics Of How Much Their Dogs Shed (25 Pics)", BoredPanda, 1, 2020
7,"People On This Group Are Sharing The Most Beautiful Rooms They Can Find, And Here Are The 30 Best Ones", BoredPanda, 1, 2020
8,"ALERT: NASA Confirms Earth Will Go Dark For 6 Days In December 2020", Daily Buzz Live, 1, 2020
9,"Flight 914: Disappeared And Landed 37 Years Later", Daily Buzz Live, 1, 2020
10,"After weeks of declining to recognize Biden’s win, Mitch McConnell congratulates him for being the president-elect.", NY Times, 0, 2020
11,"Hungary Passes Laws Curtailing Gay Rights and Expanding Executive Power", NY Times, 0, 2020
12,"Patients being treated in car park at Antrim hospital", RTÉ, 0, 2020
13,"Italian PM warns more restrictions needed at Christmas", RTÉ, 0, 2020
14,"US election: Top Trump ally breaks silence to congratulate Biden", BBC, 0, 2020
15,"A palm oil alternative could help save rainforests", BBC, 0, 2020
16,"China avoids ICC prosecution over Xinjiang for now, but pressure is growing", CNN, 0, 2020
17,"Boko Haram claims to have kidnapped Nigerian schoolboys, in unverified audio message", CNN, 0, 2020
18,"Biden Wins Electoral College to Cement Victory and Rebuff Trump", Bloomberg, 0, 2020
19,"Lofty Climate Goals Get Reality Check at Global Summit", Bloomberg, 0, 2020
