,Title,Date,Source
0,Latest Breaking Stories & Headlines,,https://www.rte.ie/news/headlines
1,Latest Brexit Headlines,,http://www.rte.ie
2,Latest Coronavirus Headlines,,http://www.rte.ie
3,Local Stories & Headlines From Ireland,,https://www.rte.ie/news/headlines
4,Latest International Headlines & Stories,,https://www.rte.ie/news/headlines
5,Latest Breaking News Stories & Headlines,,https://www.rte.ie/news/headlines
6,Beirt fhear fós á gceistiú faoi thubaiste ar an gCorr Chríochach,,https://www.rte.ie/news/headlines
7,RTÉ Investigates,,https://www.rte.ie/news/headlines
8,Programmes,,https://www.rte.ie/news/headlines
9,"Covid-19: Three further deaths, 248 new cases",2020-12-12 07:00:00+00:00,https://www.rte.ie/news/headlines
10,US to begin coronavirus vaccinations on Monday,2020-12-12 03:27:56.050000+00:00,https://www.rte.ie/news/headlines
11,Covid-19 and the ghost of Christmas future,2020-12-12 07:00:00+00:00,https://www.rte.ie/news/headlines
12,Q&A: How safe is the first Covid-19 vaccine?,2020-12-11 18:18:15.327000+00:00,https://www.rte.ie
13,National Summary,,https://www.rte.ie/news/
14,Royal Navy standby patrol 'irresponsible',2020-12-12 08:16:40.860000+00:00,https://www.rte.ie/news/headlines
15,892 motorists caught speeding on National Slow Down Day,2020-12-12 09:42:17.793000+00:00,https://www.rte.ie/news/headlines
16,The level playing field: Brexit for slow learners,2020-12-12 07:00:00+00:00,https://www.rte.ie/news/headlines
17,Mexico's 'tower of skulls' yields more ancient remains,2020-12-12 11:38:50.227000+00:00,https://www.rte.ie/news/headlines
18,Hundreds of pupils missing after Nigerian school attack,2020-12-12 16:34:33.987000+00:00,https://www.rte.ie/news/headlines
19,Peamount hit Cork for six in cup final to seal double,2020-12-12 12:23:34.897000+00:00,https://www.rte.ie/news/headlines
20,Bertie Ahern: Brexit talks deadline a 'huge mistake',2020-12-12 17:34:22.820000+00:00,https://www.rte.ie/news/headlines
21,Brexit: A gift or a hospital pass for the DUP?,2020-12-12 07:00:00+00:00,https://www.rte.ie/news/headlines
22,Cork marks centenary since burning by British forces,2020-12-12 00:37:30.690000+00:00,https://www.rte.ie/news/headlines
23,Countries must declare 'climate emergency' - UN chief,2020-12-12 14:35:57.817000+00:00,https://www.rte.ie/news/headlines
24,Latest Breaking News Stories & Headlines,,https://www.rte.ie/news/
25,Terror in Cork: the burning of a city,2020-09-24 17:06:05.517000+01:00,http://www.rte.ie
26,The Burning of Cork,,https://www.rte.ie/news/
27,How the 1920 burning of Cork was covered abroad,2020-12-10 13:47:25.390000+00:00,https://www.rte.ie
28,100 years since burning of Cork by British forces,2020-12-11 13:20:45.083000+00:00,https://www.rte.ie/news/
29,Regional News from RTÉ,,https://www.rte.ie/news/
30,Drogheda bakery closes temporarily over Covid outbreak,2020-12-12 17:55:40.543000+00:00,https://www.rte.ie/news/
31,"Tipperary gardaí seize €90,000 in cash, Rolex watches",2020-12-12 15:54:03.727000+00:00,https://www.rte.ie/news/
32,"Man arrested following €30,000 drugs seizure in Wicklow",2020-12-12 11:23:43.917000+00:00,https://www.rte.ie/news/
33,Shannonbridge turbines to turn for final time,2020-12-11 11:08:38.620000+00:00,https://www.rte.ie/news/
34,Offaly puppy farmer fined for animal cruelty,2020-12-11 16:52:21.703000+00:00,https://www.rte.ie/news/
35,Mayo club plans memorial pitch to honour Garda Horkan,2020-12-11 09:00:35+00:00,https://www.rte.ie/news/
36,Cork Simon Community housed one person per week in 2019,2020-12-11 13:13:30.323000+00:00,https://www.rte.ie/news/
37,5 reasons why a no-deal Brexit would be bad for Ireland,2020-12-10 18:46:58.503000+00:00,https://www.rte.ie/news/
38,The potential impact of Brexit without a trade deal,2020-12-10 14:19:08+00:00,https://www.rte.ie/news/
39,"Stena Line adding extra vessel between Ireland, France",2020-12-10 16:01:13.953000+00:00,https://www.rte.ie/news/
40,The impact of Brexit on our favourite brands,2020-12-09 10:21:38.047000+00:00,https://www.rte.ie/news/
41,Latest Breaking News Stories & Headlines,,https://www.rte.ie/news/
42,Watch: Ice causes chaos and struggle for Kiev residents,2020-12-11 19:32:43.713000+00:00,https://www.rte.ie/news/
43,How will you be celebrating this Christmas?,2020-12-07 16:35:24.110000+00:00,https://www.rte.ie/news/
44,'Ice Cathedral' in Alps offers unique show for visitors,2020-12-11 10:16:27.103000+00:00,https://www.rte.ie/news/
45,Banksy confirms mural of sneezing pensioner is his work,2020-12-10 15:32:27.773000+00:00,https://www.rte.ie/news/
46,Gardaí appeal for help in locating missing elf,2020-12-10 09:08:39.893000+00:00,https://www.rte.ie/news/
47,"One for sorrow, two for joy: why we count magpies",2020-12-10 08:28:38.130000+00:00,https://www.rte.ie
48,"Hozier performance, Taoiseach address lead on Facebook",2020-12-10 10:11:17.760000+00:00,https://www.rte.ie/news/
49,Possible new whale species spotted,2020-12-10 09:12:52.653000+00:00,https://www.rte.ie/news/
50,Human-made objects to outweigh living things on Earth,2020-12-09 18:48:18.983000+00:00,https://www.rte.ie/news/
51,Venice under water as dam system fails to activate,2020-12-09 14:53:39.740000+00:00,https://www.rte.ie/news/
52,Concussion and sport - What is CTE?,2020-12-09 10:54:54.687000+00:00,https://www.rte.ie/news/
53,US Election and Covid pandemic dominate Google searches,2020-12-09 08:38:29.513000+00:00,https://www.rte.ie/news/
54,RTÉjr Goes Dancing With The Stars,,https://rtejr.rte.ie
55,RTÉ Weather News,,https://www.rte.ie/weather
56,Dublin loses out to Bonn for European weather office,2020-12-09 17:43:21.633000+00:00,https://www.rte.ie/weather
57,h forecast as wind warning issued,2020-12-04 10:08:43.957000+00:00,https://www.rte.ie/weather
58,Met Éireann warns of sharp to severe frosts,2020-12-01 11:29:21.807000+00:00,https://www.rte.ie/weather
59,"Yellow rainfall warning for Connacht, 4 other counties",2020-11-23 09:24:26.993000+00:00,https://www.rte.ie/weather
60,You Ok?,2020-04-27 00:00:00,https://2fm.rte.ie
61,RTÉ Radio Player,,https://2fm.rte.ie
62,TRACY CHATS TO LIAM GALLAGHER,2020-12-04 00:00:00,https://2fm.rte.ie
63,Salvation.,2020-11-27 00:00:00,https://2fm.rte.ie
